domicile,visiteur,resultat,journee,score_domicile,score_visiteur,victoire_domicile,victoire_visiteur,egalite
Monaco,Lyon,0-3,1,0,3,False,True,False
Marseille,Reims,0-2,1,0,2,False,True,False
Montpellier,Rennes,0-1,1,0,1,False,True,False
Angers,Bordeaux,3-1,1,3,1,True,False,False
Dijon,St Etienne,1-2,1,1,2,False,True,False
Brest,Toulouse,1-1,1,1,1,False,False,True
Nice,Amiens,2-1,1,2,1,True,False,False
Lille,Nantes,2-1,1,2,1,True,False,False
Strasbourg,Metz,1-1,1,1,1,False,False,True
Paris SG,Nimes,3-0,1,3,0,True,False,False
Lyon,Angers,6-0,2,6,0,True,False,False
Nantes,Marseille,0-0,2,0,0,False,False,True
Bordeaux,Montpellier,1-1,2,1,1,False,False,True
Metz,Monaco,3-0,2,3,0,True,False,False
Amiens,Lille,1-0,2,1,0,True,False,False
Nimes,Nice,1-2,2,1,2,False,True,False
Toulouse,Dijon,1-0,2,1,0,True,False,False
St Etienne,Brest,1-1,2,1,1,False,False,True
Reims,Strasbourg,0-0,2,0,0,False,False,True
Rennes,Paris SG,2-1,2,2,1,True,False,False
Dijon,Bordeaux,0-2,3,0,2,False,True,False
Angers,Metz,3-0,3,3,0,True,False,False
Amiens,Nantes,1-2,3,1,2,False,True,False
Brest,Reims,1-0,3,1,0,True,False,False
Monaco,Nimes,2-2,3,2,2,False,False,True
Strasbourg,Rennes,0-2,3,0,2,False,True,False
Paris SG,Toulouse,4-0,3,4,0,True,False,False
Montpellier,Lyon,1-0,3,1,0,True,False,False
Lille,St Etienne,3-0,3,3,0,True,False,False
Nice,Marseille,1-2,3,1,2,False,True,False
Metz,Paris SG,0-2,4,0,2,False,True,False
Lyon,Bordeaux,1-1,4,1,1,False,False,True
Nantes,Montpellier,1-0,4,1,0,True,False,False
Toulouse,Amiens,2-0,4,2,0,True,False,False
Nimes,Brest,3-0,4,3,0,True,False,False
Angers,Dijon,2-0,4,2,0,True,False,False
Reims,Lille,2-0,4,2,0,True,False,False
Rennes,Nice,1-2,4,1,2,False,True,False
Strasbourg,Monaco,2-2,4,2,2,False,False,True
Marseille,St Etienne,1-0,4,1,0,True,False,False
Lille,Angers,2-1,5,2,1,True,False,False
Amiens,Lyon,2-2,5,2,2,False,False,True
Paris SG,Strasbourg,1-0,5,1,0,True,False,False
Montpellier,Nice,2-1,5,2,1,True,False,False
Bordeaux,Metz,2-0,5,2,0,True,False,False
Brest,Rennes,0-0,5,0,0,False,False,True
Dijon,Nimes,0-0,5,0,0,False,False,True
Nantes,Reims,1-0,5,1,0,True,False,False
St Etienne,Toulouse,2-2,5,2,2,False,False,True
Monaco,Marseille,3-4,5,3,4,False,True,False
Strasbourg,Nantes,2-1,6,2,1,True,False,False
Marseille,Montpellier,1-1,6,1,1,False,False,True
Reims,Monaco,0-0,6,0,0,False,False,True
Bordeaux,Brest,2-2,6,2,2,False,False,True
Nimes,Toulouse,1-0,6,1,0,True,False,False
Nice,Dijon,2-1,6,2,1,True,False,False
Metz,Amiens,1-2,6,1,2,False,True,False
Rennes,Lille,1-1,6,1,1,False,False,True
Angers,St Etienne,4-1,6,4,1,True,False,False
Lyon,Paris SG,0-1,6,0,1,False,True,False
Dijon,Marseille,0-0,7,0,0,False,False,True
Monaco,Nice,3-1,7,3,1,True,False,False
Lille,Strasbourg,2-0,7,2,0,True,False,False
Brest,Lyon,2-2,7,2,2,False,False,True
Nantes,Rennes,1-0,7,1,0,True,False,False
St Etienne,Metz,0-1,7,0,1,False,True,False
Toulouse,Angers,0-2,7,0,2,False,True,False
Montpellier,Nimes,1-0,7,1,0,True,False,False
Amiens,Bordeaux,1-3,7,1,3,False,True,False
Paris SG,Reims,0-2,7,0,2,False,True,False
Lyon,Nantes,0-1,8,0,1,False,True,False
Bordeaux,Paris SG,0-1,8,0,1,False,True,False
Nice,Lille,1-1,8,1,1,False,False,True
Monaco,Brest,4-1,8,4,1,True,False,False
Metz,Toulouse,2-2,8,2,2,False,False,True
Angers,Amiens,1-1,8,1,1,False,False,True
Reims,Dijon,1-2,8,1,2,False,True,False
Strasbourg,Montpellier,1-0,8,1,0,True,False,False
Nimes,St Etienne,0-1,8,0,1,False,True,False
Marseille,Rennes,1-1,8,1,1,False,False,True
Amiens,Marseille,3-1,9,3,1,True,False,False
Paris SG,Angers,4-0,9,4,0,True,False,False
Montpellier,Monaco,3-1,9,3,1,True,False,False
Toulouse,Bordeaux,1-3,9,1,3,False,True,False
Nantes,Nice,1-0,9,1,0,True,False,False
Dijon,Strasbourg,1-0,9,1,0,True,False,False
Brest,Metz,2-0,9,2,0,True,False,False
Lille,Nimes,2-2,9,2,2,False,False,True
Rennes,Reims,0-1,9,0,1,False,True,False
St Etienne,Lyon,1-0,9,1,0,True,False,False
Nice,Paris SG,1-4,10,1,4,False,True,False
Lyon,Dijon,0-0,10,0,0,False,False,True
Toulouse,Lille,2-1,10,2,1,True,False,False
Metz,Nantes,1-0,10,1,0,True,False,False
Reims,Montpellier,1-0,10,1,0,True,False,False
Angers,Brest,0-1,10,0,1,False,True,False
Nimes,Amiens,1-1,10,1,1,False,False,True
Bordeaux,St Etienne,0-1,10,0,1,False,True,False
Monaco,Rennes,3-2,10,3,2,True,False,False
Marseille,Strasbourg,2-0,10,2,0,True,False,False
