nconst,primaryName,birthYear,deathYear,primaryProfession
nm0000110,Kenneth Branagh,1960.0,,"actor,producer,director"
nm0000140,Michael Douglas,1944.0,,"actor,producer,soundtrack"
nm0000164,Anthony Hopkins,1937.0,,"actor,soundtrack,composer"
nm0000168,Samuel L. Jackson,1948.0,,"actor,producer,soundtrack"
nm0000179,Jude Law,1972.0,,"actor,producer,soundtrack"
nm0000204,Natalie Portman,1981.0,,"actress,producer,soundtrack"
nm0000239,Liv Tyler,1977.0,,"actress,producer,soundtrack"
nm0000313,Jeff Bridges,1949.0,,"actor,soundtrack,producer"
nm0000332,Don Cheadle,1964.0,,"actor,producer,soundtrack"
nm0000375,Robert Downey Jr.,1965.0,,"actor,producer,soundtrack"
nm0000458,William Hurt,1950.0,,"actor,producer"
nm0000474,Michael Keaton,1951.0,,"actor,producer,soundtrack"
nm0000569,Gwyneth Paltrow,1972.0,,"actress,soundtrack,producer"
nm0000602,Robert Redford,1936.0,,"producer,actor,director"
nm0000619,Tim Roth,1961.0,,"actor,producer,soundtrack"
nm0000620,Mickey Rourke,1952.0,,"actor,writer,music_department"
nm0000673,Marisa Tomei,1964.0,,"actress,producer"
nm0000948,Shane Black,1961.0,,"writer,actor,director"
nm0000949,Cate Blanchett,1969.0,,"actress,producer,director"
nm0001570,Edward Norton,1969.0,,"actor,producer,writer"
nm0001602,Guy Pearce,1967.0,,"actor,soundtrack,director"
nm0001745,Stellan Skarsgård,1951.0,,"actor,producer,writer"
nm0002653,Joe Johnston,1950.0,,"director,visual_effects,producer"
nm0004874,Vin Diesel,1967.0,,"producer,actor,director"
nm0005024,Terrence Howard,1969.0,,"actor,soundtrack,producer"
nm0006293,Alan Silvestri,1950.0,,"composer,soundtrack,music_department"
nm0032696,Avi Arad,1948.0,,"producer,writer,music_department"
nm0169806,Taika Waititi,1975.0,,"producer,actor,director"
nm0177896,Bradley Cooper,1975.0,,"actor,producer,soundtrack"
