nconst,character
nm0000375,Tony Stark
nm0000569,Pepper Potts
nm0005024,Lt. Col. James 'Rhodey' Rhodes
nm0000313,Obadiah Stane
nm0262635,Captain America
nm0915989,Johann Schmidt
nm0000168,Nick Fury
nm2017943,Peggy Carter
nm0748620,Scott Lang
nm0000140,Dr. Hank Pym
nm1015684,Darren Cross
nm1431940,Hope Van Dyne
nm0001570,Bruce Banner
nm0000239,Betty Ross
nm0000619,Emil Blonsky
nm0000458,General 'Thunderbolt' Ross
nm1165110,Thor
nm0000164,Odin
nm0000204,Jane Foster
nm1089991,Loki
nm0262635,Steve Rogers
nm0424060,Natasha Romanoff
nm0719637,Clint Barton
nm1212722,Dr. Stephen Strange
nm0252230,Mordo
nm1046097,Dr. Christine Palmer
nm0938950,Wong
nm0000620,Ivan Vanko
nm0000332,Lt. Col. James 'Rhodey' Rhodes
nm0001602,Aldrich Killian
nm0000332,Colonel James Rhodes
nm1569276,T'Challa
nm0430107,Erik Killmonger
nm2143282,Nakia
nm1775091,Okoye
nm0000602,Alexander Pierce
nm0001745,Erik Selvig
nm0695435,Peter Quill
nm0004874,Groot
nm0177896,Rocket
nm0757855,Gamora
nm4043618,Peter Parker
nm0000474,Adrian Toomes
nm0000673,May Parker
nm0749263,Bruce Banner
nm6124832,Shalchi
nm4983775,Shahram
nm6124831,The Children Parents
nm6124826,The shop worker
nm1659221,Bucky Barnes
nm0000949,Hela
nm1176985,Drax
nm0004874,Baby Groot
nm0488953,Carol Danvers
nm0578853,Talos
nm0000179,Yon-Rogg
nm0671567,Luis
nm0324658,Sonny Burch
nm0000375,Iron Man
nm0915989,Red Skull
nm0748620,Ant-Man
nm1015684,Yellowjacket
nm0424060,Black Widow
nm0719637,Hawkeye
nm1569276,Black Panther
nm4043618,Spider-Man
nm0000474,Vulture
nm0749263,Hulk
nm1659221,Winter Soldier
nm0695435,Star-Lord
nm0488953,Vers
nm0578853,Keller
nm1431940,Wasp
nm0488953,Captain Marvel
