start;stop;ligne;time;distance
LADEFENSE;ESPLANADEDELADEFENSE;1;2.2853185629470327;1142.6592814735163
ESPLANADEDELADEFENSE;PONTDENEUILLY;1;2.5412530742553434;1270.6265371276718
PONTDENEUILLY;LESSABLONS;1;2.3156594506325803;1157.82972531629
LESSABLONS;PORTEMAILLOT;1;2.3678341349855367;1183.9170674927684
PORTEMAILLOT;ARGENTINE;1;1.5030341968003544;751.5170984001772
ARGENTINE;CHARLESDEGAULLEETOILE;1;1.4416557148454583;720.8278574227292
CHARLESDEGAULLEETOILE;GEORGEV;1;1.431848742317014;715.924371158507
GEORGEV;FRANKLINDROOSEVELT;1;2.0061530851967326;1003.0765425983664
FRANKLINDROOSEVELT;CHAMPSELYSEESCLEMENCEAU;1;1.1185572091072238;559.2786045536119
CHAMPSELYSEESCLEMENCEAU;CONCORDE;1;1.7756814946881023;887.8407473440511
CONCORDE;TUILERIES;1;1.8026362899579311;901.3181449789656
TUILERIES;PALAISROYALMUSEEDULOUVRE;1;1.5342365252300931;767.1182626150465
PALAISROYALMUSEEDULOUVRE;LOUVRERIVOLI;1;1.2586532745910608;629.3266372955304
LOUVRERIVOLI;CHATELET;1;1.7779052615583508;888.9526307791754
CHATELET;HOTELDEVILLE;1;1.074838731939214;537.419365969607
HOTELDEVILLE;STPAUL;1;1.9638485674263773;981.9242837131886
STPAUL;BASTILLE;1;1.8720690320656632;936.0345160328316
BASTILLE;GAREDELYON;1;2.156631309256545;1078.3156546282723
GAREDELYON;REUILLYDIDEROT;1;2.194067476648744;1097.033738324372
REUILLYDIDEROT;NATION;1;1.8535818509669264;926.7909254834632
NATION;PORTEDEVINCENNES;1;2.642862082215916;1321.431041107958
PORTEDEVINCENNES;STMANDE;1;1.8823513011557969;941.1756505778984
STMANDE;BERAULT;1;1.9409941443205847;970.4970721602923
BERAULT;CHATEAUDEVINCENNES;1;2.1644047915489257;1082.202395774463
ESPLANADEDELADEFENSE;LADEFENSE;1;2.2853185629470327;1142.6592814735163
PONTDENEUILLY;ESPLANADEDELADEFENSE;1;2.5412530742553434;1270.6265371276718
LESSABLONS;PONTDENEUILLY;1;2.3156594506325803;1157.82972531629
PORTEMAILLOT;LESSABLONS;1;2.3678341349855367;1183.9170674927684
ARGENTINE;PORTEMAILLOT;1;1.5030341968003544;751.5170984001772
CHARLESDEGAULLEETOILE;ARGENTINE;1;1.4416557148454583;720.8278574227292
GEORGEV;CHARLESDEGAULLEETOILE;1;1.431848742317014;715.924371158507
FRANKLINDROOSEVELT;GEORGEV;1;2.0061530851967326;1003.0765425983664
CHAMPSELYSEESCLEMENCEAU;FRANKLINDROOSEVELT;1;1.1185572091072238;559.2786045536119
CONCORDE;CHAMPSELYSEESCLEMENCEAU;1;1.7756814946881023;887.8407473440511
TUILERIES;CONCORDE;1;1.8026362899579311;901.3181449789656
PALAISROYALMUSEEDULOUVRE;TUILERIES;1;1.5342365252300931;767.1182626150465
