nom_clean;start;stop;time
ARTSETMETIERS;3;11;4
ARTSETMETIERS;11;3;4
BARBESROCHECHOUART;2;4;4
BARBESROCHECHOUART;4;2;4
BASTILLE;1;5;4
BASTILLE;1;8;4
BASTILLE;5;1;4
BASTILLE;5;8;4
BASTILLE;8;1;4
BASTILLE;8;5;4
BELLEVILLE;2;11;4
BELLEVILLE;11;2;4
BERCY;6;14;4
BERCY;14;6;4
BONNENOUVELLE;8;9;4
BONNENOUVELLE;9;8;4
CHAMPSELYSEESCLEMENCEAU;1;13;4
CHAMPSELYSEESCLEMENCEAU;13;1;4
CHARLESDEGAULLEETOILE;1;2;4
CHARLESDEGAULLEETOILE;1;6;4
CHARLESDEGAULLEETOILE;2;1;4
CHARLESDEGAULLEETOILE;2;6;4
CHARLESDEGAULLEETOILE;6;1;4
CHARLESDEGAULLEETOILE;6;2;4
CHATELET;1;4;4
CHATELET;1;7;4
CHATELET;1;11;4
CHATELET;1;14;4
CHATELET;4;1;4
CHATELET;4;7;4
CHATELET;4;11;4
CHATELET;4;14;4
CHATELET;7;1;4
CHATELET;7;4;4
CHATELET;7;11;4
CHATELET;7;14;4
CHATELET;11;1;4
CHATELET;11;4;4
CHATELET;11;7;4
CHATELET;11;14;4
CHATELET;14;1;4
CHATELET;14;4;4
CHATELET;14;7;4
CHATELET;14;11;4
CHAUSSEEDANTINLAFAYETTE;7;9;4
CHAUSSEEDANTINLAFAYETTE;9;7;4
CONCORDE;1;8;4
CONCORDE;1;12;4
CONCORDE;8;1;4
CONCORDE;8;12;4
CONCORDE;12;1;4
CONCORDE;12;8;4
DAUMESNIL;6;8;4
DAUMESNIL;8;6;4
DENFERTROCHEREAU;4;6;4
DENFERTROCHEREAU;6;4;4
DUROC;10;13;4
DUROC;13;10;4
FRANKLINDROOSEVELT;1;9;4
FRANKLINDROOSEVELT;9;1;4
GAMBETTA;3;3bis;4
GAMBETTA;3bis;3;4
GAREDAUSTERLITZ;5;10;4
GAREDAUSTERLITZ;10;5;4
GAREDELEST;4;5;4
GAREDELEST;4;7;4
GAREDELEST;5;4;4
GAREDELEST;5;7;4
GAREDELEST;7;4;4
GAREDELEST;7;5;4
GAREDELYON;1;14;4
GAREDELYON;14;1;4
GAREDUNORD;4;5;4
GAREDUNORD;5;4;4
GRANDSBOULEVARDS;8;9;4
GRANDSBOULEVARDS;9;8;4
HAVRECAUMARTIN;3;9;4
HAVRECAUMARTIN;9;3;4
HOTELDEVILLE;1;11;4
HOTELDEVILLE;11;1;4
INVALIDES;8;13;4
INVALIDES;13;8;4
JAURES;2;5;4
JAURES;2;7bis;4
JAURES;5;2;4
JAURES;5;7bis;4
JAURES;7bis;2;4
JAURES;7bis;5;4
JUSSIEU;7;10;4
JUSSIEU;10;7;4
LAMOTTEPICQUETGRENELLE;6;8;4
LAMOTTEPICQUETGRENELLE;6;10;4
LAMOTTEPICQUETGRENELLE;8;6;4
LAMOTTEPICQUETGRENELLE;8;10;4
LAMOTTEPICQUETGRENELLE;10;6;4
LAMOTTEPICQUETGRENELLE;10;8;4
LOUISBLANC;7;7bis;4
LOUISBLANC;7bis;7;4
MADELEINE;8;12;4
MADELEINE;8;14;4
MADELEINE;12;8;4
MADELEINE;12;14;4
MADELEINE;14;8;4
MADELEINE;14;12;4
MARCADETPOISSONNIERS;4;12;4
MARCADETPOISSONNIERS;12;4;4
MICHELANGEAUTEUIL;9;10;4
MICHELANGEAUTEUIL;10;9;4
MICHELANGEMOLITOR;9;10;4
MICHELANGEMOLITOR;10;9;4
MIROMESNIL;9;13;4
MIROMESNIL;13;9;4
MONTPARNASSEBIENVENUE;4;6;4
MONTPARNASSEBIENVENUE;4;12;4
MONTPARNASSEBIENVENUE;4;13;4
MONTPARNASSEBIENVENUE;6;4;4
MONTPARNASSEBIENVENUE;6;12;4
MONTPARNASSEBIENVENUE;6;13;4
MONTPARNASSEBIENVENUE;12;4;4
MONTPARNASSEBIENVENUE;12;6;4
MONTPARNASSEBIENVENUE;12;13;4
MONTPARNASSEBIENVENUE;13;4;4
MONTPARNASSEBIENVENUE;13;6;4
MONTPARNASSEBIENVENUE;13;12;4
NATION;1;2;4
NATION;1;6;4
NATION;1;9;4
NATION;2;1;4
NATION;2;6;4
NATION;2;9;4
NATION;6;1;4
NATION;6;2;4
NATION;6;9;4
NATION;9;1;4
NATION;9;2;4
NATION;9;6;4
OBERKAMPF;5;9;4
OBERKAMPF;9;5;4
ODEON;4;10;4
ODEON;10;4;4
OPERA;3;7;4
OPERA;3;8;4
OPERA;7;3;4
OPERA;7;8;4
OPERA;8;3;4
OPERA;8;7;4
PALAISROYALMUSEEDULOUVRE;1;7;4
PALAISROYALMUSEEDULOUVRE;7;1;4
PASTEUR;6;12;4
PASTEUR;12;6;4
PERELACHAISE;2;3;4
PERELACHAISE;3;2;4
PIGALLE;2;12;4
PIGALLE;12;2;4
PLACEDECLICHY;2;13;4
PLACEDECLICHY;13;2;4
PLACEDESFETES;11;7bis;4
PLACEDESFETES;7bis;11;4
PLACEDITALIE;5;6;4
PLACEDITALIE;5;7;4
PLACEDITALIE;6;5;4
PLACEDITALIE;6;7;4
PLACEDITALIE;7;5;4
PLACEDITALIE;7;6;4
PORTEDESLILAS;11;3bis;4
PORTEDESLILAS;3bis;11;4
PYRAMIDES;7;14;4
PYRAMIDES;14;7;4
RASPAIL;4;6;4
RASPAIL;6;4;4
REAUMURSEBASTOPOL;3;4;4
REAUMURSEBASTOPOL;4;3;4
